id,en
p879227,We are not hungry.
p665260,We are not ready.
p653988,We are not tired.
p353746,We are not busy.
p139014,We are not sure.
p242516,We are not twins.
p244205,Are we ready?
p409074,Are we lost?
p128436,Are we free?
p668445,Are we alone?
p170363,Are we late?
p917858,Are we safe?
p353100,Are we done?
p492923,Are we close?
p638001,They are from Canada.
p202200,They are my friends.
p243039,They are sisters.
p642249,They are brothers.
p530752,They are kind.
p891836,They are nice.
p449293,They are in then park.
p183774,They are busy now.
p326629,They are students.
p305983,They are teachers.
p516739,They are playing tennis.
p237351,They are not my friends.
p489138,They are not strong.
p428779,They are not ready yet.
p942196,They are not from the U.S.
p856619,They are not students.
p800616,They are not teachers.
p363106,They are not busy.
p278174,They are not happy.
p894913,They are not kind.
p359543,They are not tired.
p768120,They are not Japanese.
p658468,They are not free today.
p764993,They are not serious.
p197301,
p988116,Are they in trouble?
p112316,Are they teachers?
p519894,Are they excited?
p260379,Are they famous?
p261314,Are they busy?
p868134,Are they okay?
p231254,Are they Japanese?
p616994,Are they tired?
p981411,Are they at home?
p861332,Are they kind?
p509099,Are they free?
p903565,I was really busy yesterday.
p716754,I wasn't busy at all yesterday.
p507429,I was in Osaka all day yesterday.
p418938,I was really happy yesterday.
p837308,I was tired last night.
p212319,I was very sleepy yesterday.
p102907,I was really hungry at that time.
p337857,I was free all day yesterday.
p431544,I was excited about the news.
p650640,I was late for school this morning.
p421669,I was thirteen years old last year.
p935176,I was in the library then.
p953111,I was at home last Sunday.
p913115,I was with my friends yesterday.
p877279,I wasn't busy yesterday.
p236779,I wasn't thirsty at that time.
p461862,I wasn't interested in the movie.
p917260,I wasn't there last night.
p377465,I wasn't a tennis player before.
p914639,I wasn't afraid of dogs as a child.
p350474,Was I wrong?
p718549,Was I noisy then?
p737755,Was I late for the party?
p508943,You were really busy yesterday.
p134700,Were you busy yesterday afternoon?
p905970,You were happy.
p331524,You were kind.
p946945,You were a good student.
p286941,You were late for school.
p529351,You were in the library.
p785548,You were at home last night.
p653805,You were excited.
p614205,You weren't busy.
p509754,You weren't hungry.
p834841,You weren't wrong.
p353124,You weren't a teacher.
p623149,You weren't at school yesterday.
p528228,You weren't alone.
p170380,Were you tired?
p694134,Were you free?
p796026,Were you busy yesterday?
p655378,Were you in Tokyo yesterday?
p797395,Were you sick last week?
p941541,Were you surprised at the news?
p466252,Were you with Ken?
p561050,He was really busy yesterday.
p142273,He was in Nara for meetings yesterday.
p333945,He wasn't at school yesterday morning.
p510884,He was a good teacher.
p563265,He was very sleepy last night.
p753436,He was in his room then.
p404330,He was a famous soccer player.
p172926,He was sick last week.
p107997,He was at the station this morning.
p608597,He was very kind to us.
p957260,He was free yesterday.
p187479,He wasn't busy then.
p259296,He wasn't a doctor.
p170806,He wasn't at home on Sunday.
p938576,He wasn't hungry.
p564811,He wasn't ready for the test.
p326240,He wasn't in the library yesterday.
p812479,He wasn't angry.
p281760,Was he your classmate?
p430566,Was he busy yesterday afternoon?
p241595,Was he in the park last night?
p481756,Was he tall?
p378239,Was he with you then?
p900249,She was really busy yesterday.
p850318,She was resting at home yesterday.
p435018,She was very happy last night.
p669109,She was thirteen years old then.
p605349,She was sick in bed yesterday.
p150935,She was in London last week.
p530432,She was our teacher.
p190067,She was excited about the news.
p588270,She was in the library this morning.
p692997,She wasn't tall then.
p254564,She wasn't hungry.
p855259,She wasn't a doctor.
p940746,She wasn't free yesterday.
p794383,She wasn't in the classroom after school.
p581225,She wasn't kind to him.
p116944,Was she busy yesterday?
p917358,Was she your classmate?
p559089,Was she at home this morning?
p618071,Was she interested in the movie?
p778942,We were really busy yesterday.
p737942,We were students back then.
p910734,We were happy.
p833075,We were very tired then.
p556534,We were classmates last year.
p751088,We were in the library after school.
p121303,We were excited about the news.
p881100,We were best friends before.
p885990,We were in Kyoto yesterday.
p682301,We were late.
p199296,We weren't hungry.
p946454,We weren't busy yesterday.
p860269,We weren't at home.
p600238,We weren't sad.
p972718,We weren't ready.
p513305,We weren't players on that team.
p637173,Were we loud?
p140228,Were we wrong?
p397780,Were we good students?
p660557,Were we in the park then?
p567917,Were we helpful?
p570561,Were we lucky?
p840585,They were really busy yesterday.
p195879,They were friends for years.
p336619,They were very happy then.
p918772,They were classmates last year.
p897389,They were in the library after school.
p201277,They were excited about the game.
p806531,They were kind to us.
p737587,They were tired.
p688684,They were cheap before.
p782483,They were very beautiful.
p674824,They weren't at home last night.
p685084,They weren't hungry.
p405524,They weren't good players.
p811845,They weren't interested in the news.
p514607,They weren't new.
p220855,They weren't in my bag.
p656147,Were they surprised at the result?
p747480,Were they busy yesterday?
p860183,Were they your friends?
p889608,Were they in Kyoto last weekend?
p607904,Were they difficult?
p373610,Were they important for you?
p243374,I play tennis every Saturday.
p295164,I live in Nara.
p443410,I like reading a lot.
p479357,I play soccer after school.
p389588,I read books in the library at school.
p626896,I watch TV at home after dinner.
p265880,I go to school by bus.
p788002,I cook breakfast every single morning.
p242664,You really like music a lot.
p578574,I walk my dog after school.
p589494,They live next door.
p480246,I play tennis.
p376099,I like programming.
p641027,I play soccer at school.
p981161,I read books at school.
p177876,I watch TV at home.
p141093,I cook breakfast every day.
p814256,You like music very much.
p133067,We have a dog.
p241117,I don't play tennis on weekdays.
p899346,I don't watch YouTube at night.
p512860,I don't have a dog right now.
p608547,I don't live in Tokyo anymore.
p967776,I don't really like lemon flavor.
p401523,You don't really play soccer these days.
p745370,I don't read many books these days.
p167715,I don't really watch TV at home.
p302717,I don't walk my dog when it rains.
p903537,I don't cook on weeknights.
p689480,I don't play tennis.
p704824,You don't study English.
p625016,We don't have a dog.
p661040,I don't live in Tokyo.
p405068,I don't like lemon.
p588635,You don't play soccer.
p995637,I don't read books a lot.
p816204,I don't watch TV.
p547671,I don't go to school on foot.
p225125,I don't cook.
p467023,Do you still play tennis?
p384045,Do you study English on weeknights?
p864532,Do you have a dog at home?
p728637,Do you live in Tokyo now?
p830421,Do you like live music?
p567472,Do they play soccer after school?
p195006,Do you read books on the train to school?
p594225,Do they watch a movie together at night?
p915471,Do you ride your bike?
p678409,Do you cook dinner at home?
p932792,Do you play tennis?
p851065,Do you study English?
p479628,Do you have a dog?
p488672,Do you live in Tokyo?
p977551,Do you like music?
p210968,Do you play soccer?
p378006,Do you read books?
p468798,Do they watch TV?
p190166,Do you go to school?
p442084,Do you cook?
p637529,He plays soccer at the local club on weekends.
p627903,She studies English online every night.
p272945,Tom bikes to school every day.
p817543,My mother has a small car.
p170741,He plays tennis during lunch break.
p215008,She likes jazz music.
p969576,Taro washes his hands before lunch.
p205208,Goro goes to school by train.
p236497,He watches YouTube every night.
p877759,Hanako studies English phrases on YouTube.
p966812,He plays soccer.
p245435,She studies English.
p264109,Tom goes to school.
p291718,My mother has a car.
p803061,He plays tennis.
p817455,She likes music.
p626567,Goro goes to school by bus.
p347550,He watches YouTube.
p150325,Hanako studies English on YouTube.
p863567,He doesn't play soccer on weekdays.
p171461,She doesn't study at home.
p984717,Tom doesn't go to the park when it rains.
p540487,My mother doesn't have a car anymore.
p778127,He doesn't play tennis on weekends.
p788444,She doesn't like rock music.
p238363,Taro doesn't study before dinner.
p853999,Goro doesn't go to school by bus.
p686253,He doesn't watch YouTube at night.
p224402,Hanako doesn't study English at home.
p982940,He doesn't play soccer.
p678084,She doesn't study English.
p945601,Tom doesn't go to school.
p248928,My mother doesn't have a car.
p277763,He doesn't play tennis.
p288954,She doesn't like music.
p435448,Taro doesn't wash his hands before lunch.
p284056,He doesn't watch YouTube.
p791727,Hanako doesn't study English.
p239393,Does he play tennis on weekends?
p904800,Does she speak English fluently?
p386451,Does he go to school every day?
p546044,Does she like jazz?
p331926,Does he play soccer after school?
p155471,Does she cook at home?
p604338,Does he read books often?
p600324,Does she watch TV on weeknights?
p379543,Does he watch movies at the theater?
p109810,Does she sing karaoke?
p583834,Does he play tennis?
p184312,Does she speak English?
p154132,Does he go to school?
p380178,Does she like music?
p657596,Does he play soccer?
p969469,Does she cook?
p975351,Does he read books?
p317011,Does she watch TV?
p866879,Does he watch movies?
p412912,Does she sing songs?
p411231,I played soccer with my cousins yesterday.
p632993,She studied English late last night.
p987697,We watched a drama online yesterday.
p394714,He really liked the movie.
p488182,I went to Osaka for a concert.
p982823,She cooked dinner for her family yesterday.
p943388,They played tag in the park.
p601590,I read a new book over the weekend.
p511167,He washed his hands before going out.
p337786,She cleaned the room yesterday.
p948613,I played soccer yesterday.
p427332,She studied English last night.
p312619,We watched TV.
p725486,He liked the movie.
p346307,I went to Osaka yesterday.
p572912,She cooked yesterday.
p901938,They played in the park.
p846789,I read a book.
p129733,He washed his hands.
p809603,She cleaned the room.
p147966,I went to Tokyo for a concert.
p548261,I went to America for a short study program.
p346100,He came home at ten last night.
p956529,I wrote a thoughtful letter to her.
p828481,We had a great time at the party.
p833252,I got up at six sharp.
p692341,I saw Bob at the station last week.
p255531,He bought a new car last month.
p474036,She made a birthday cake over the weekend.
p814645,I saw a movie last night.
p819178,I went to Tokyo yesterday.
p779765,I went to America last year.
p891285,He came home at ten yesterday.
p512452,I wrote a letter to her.
p851520,We had a good time at the party.
p853705,I got up at six this morning.
p748399,I saw Bob last week.
p442900,He bought a car.
p882659,She made a cake.
p377233,I saw a movie.
p389755,I didn't play soccer because of the rain.
p865184,She didn't study English after dinner.
p518782,We didn't watch TV last night.
p449823,He didn't like that movie at all.
p354640,I didn't go to school yesterday morning.
p858345,She didn't cook dinner yesterday.
p696744,They didn't play in the park on Sunday.
p934633,I didn't read any books last week.
p399697,He didn't wash his hands before eating.
p350136,She didn't clean the room over the weekend.
p608433,I didn't play soccer yesterday.
p995390,She didn't study English.
p489822,We didn't watch TV.
p146476,He didn't like the movie.
p315100,I didn't go to school yesterday.
p557635,She didn't cook.
p541374,They didn't play in the park.
p249807,I didn't read a book.
p770638,He didn't wash his hands.
p450383,She didn't clean the room.
p517695,Did you play soccer yesterday afternoon?
p260642,Did she study English after dinner?
p957046,Did you watch TV last night?
p918680,Did he enjoy the movie?
p123933,Did you go to school yesterday morning?
p219167,Did she cook dinner yesterday?
p532787,Did they play in the park on Sunday?
p266975,Did you read a book on the train?
p436941,Did he wash his hands before lunch?
p424344,Did she clean the room yesterday?
p611638,Did you play soccer yesterday?
p416651,Did she study English?
p766173,Did you watch TV?
p190910,Did he like the movie?
p383576,Did you go to school yesterday?
p420610,Did she cook?
p381156,Did they play in the park?
p280504,Did you read a book?
p347389,Did he wash his hands?
p718145,Did she clean the room?
p504948,What is this?
p110876,What do you like the most?
p353567,What color should we paint this wall?
p778211,What sport do you like?
p195839,What are you doing now?
p517729,What is he doing over there?
p789702,What are you studying these days?
p415760,What do you want to eat tonight?
p367492,What kind of book is this?
p891535,What are you thinking about?
p450616,What do you like?
p543511,What color is this?
p961533,What are you doing?
p409536,What is he doing?
p937578,What do you study?
p177551,What do you want to eat?
p416442,What time is it right now?
p904957,What time do you usually get up on weekdays?
p296488,What time do you catch the train to school in the morning?
p209943,What time do you usually go to bed at night?
p808252,What time does your lunch break start?
p797514,What time is the movie supposed to start tonight?
p536934,What time does the last bus leave from this stop?
p203120,What time does the gym class finish?
p998323,What time do you usually start your homework?
p378678,What time does the online meeting start?
p974850,What time is it?
p520434,What time do you get up?
p325322,What time do you go to school?
p994018,What time do you go to bed?
p822447,What time do you have lunch?
p599277,What time does the movie start?
p392030,What time does the train come?
p810255,What time does the store open?
p459108,What time do you do your homework?
p642850,What time do you watch TV?
p864124,Who is waving at us over there?
p297666,Who is leading the meeting?
p527748,Who is in charge of this project?
p789579,Who was singing at the show last night?
p565250,Who came up with this idea?
p279736,Who is giving the next presentation?
p949706,Who scored in the game?
p360798,Who is the tallest person in this class?
p746020,Who taught you English?
p583273,Who took this photo?
p619232,Who is that boy?
p965099,Who's your teacher?
p867624,Who is singing that song?
p358023,Who is your friend?
p713492,Who wrote that book?
p899846,Who helped you?
p413042,Who watched that movie?
p388630,Who is your family?
p650268,Who is driving that car?
p290011,Who answered your phone?
p901030,How many books are on the shelf?
p971001,How many members are on the project?
p726250,How many lessons do you take each week?
p579899,How many emails do you need to send?
p757289,How many people are joining the meeting today?
p719781,How many photos did you take on the trip?
p717116,How many computers are in your classroom?
p478413,How many hours do you play games a week?
p613560,How many houseplants do you have at home?
p200604,How many cookies did you bake?
p657816,How many books do you have?
p864380,How many students are there?
p800680,How many brothers do you have?
p650085,How many girls are there in this class?
p822363,How many dogs do you have?
p386502,How many chairs are there in this room?
p333504,How many languages can you speak?
p861790,How many teachers are there in this school?
p777442,How many hours do you study a day?
p277512,How many pages are there in this book?
p226833,How is the weather in Tokyo today?
p731488,How was the weather in Osaka this morning?
p839531,How is the weather at the beach this weekend?
p576911,How is the weather in the mountains next week?
p852914,How is the weather in Nara during summer?
p387105,How is the weather on winter mornings?
p340215,How is the weather in Kyoto in spring?
p246432,How is the weather at night in autumn?
p620698,How was the weather yesterday afternoon?
p833037,How is the weather expected during your commute this week?
p274145,How is the weather in Osaka today?
p876369,How is the weather on the weekend?
p159999,How is the weather next week?
p560504,How is the weather in summer?
p790860,How is the weather in winter?
p742066,How is the weather in spring?
p774264,How is the weather in autumn?
p547634,How was the weather yesterday?
p362268,How was the weather this morning?
p245741,How do you get to school?
p176088,How do you go to work?
p972637,How are you going to get to the airport?
p440912,How can I get to the station?
p372332,How should I get to the hospital?
p491544,How do you usually go to the library?
p967807,How can I get to the department store?
p625396,How can I get to the park?
p543062,How can I get to the movie theater?
p529296,How can I get to the post office the quickest?
p127703,How do you go to school?
p196044,How do you go to the airport?
p819611,How do you go to the station?
p393245,How do you go to the hospital?
p191742,How do you go to the library?
p579428,How can I  get to the park?
p817641,How can I  get to the movie theater?
p417733,How can I  get to the post office?
p872544,Why did you decide to study English?
p484928,Why do you go to that school?
p324440,Why was he late today?
p996278,Why is she crying?
p114710,Why are you so tired?
p381502,Why is he upset?
p465450,Why do you read that book over and over?
p741223,Why does she watch that movie so many times?
p821092,Why do you get up early every morning?
p285001,Why did he quit that job?
p609883,Why do you study English?
p940165,Why do you go to school?
p775762,Why was he late?
p370263,Why are you tired?
p584938,Why is he angry?
p951504,Why do you read that book?
p943258,Why does she watch that movie?
p297242,Why do you get up early?
p616461,"Which city would you rather live in, Tokyo or Osaka?"
p588637,Which color shirt do you like the most?
p803242,Which book do you want to read?
p481612,Which movie are you planning to watch tonight?
p265863,Which sport would you like to join?
p622759,Which dish will you choose for lunch?
p853691,Which language do you want to study next?
p696997,Which country do you want to visit on your next trip?
p748649,Which season do you feel is the most comfortable?
p383408,Which subject are you best at?
p781769,Which is bigger，Tokyo or Osaka?
p289412,Which color do you like?
p540257,Which movie do you want to watch?
p687448,Which sport do you like?
p843502,Which food do you like?
p626497,Which language do you want to study?
p861926,Which country do you want to visit?
p959606,Which season do you like?
p457733,Which subject are you good at?
p828060,When do you practice tennis?
p707956,When do you catch the bus to school?
p978348,When will he arrive in Japan?
p205669,When will she be back at the office?
p161078,When do you try to go to bed?
p439687,When do you get up to feel your best?
p984981,When does the movie start?
p695126,When does the train pull into the platform?
p112476,When did he start studying Japanese?
p634557,When is she planning to go to America?
p501230,When do you play tennis?
p279277,When do you go to school?
p519367,When will he come?
p422947,When will she come back?
p690571,When do you go to bed?
p653631,When do you get up?
p634022,When does the train come?
p845198,When did he come to Japan?
p413811,When did she go to America?
p257010,Where do you live?
p784691,Where do you work?
p450646,Where do you study English?
p142073,Where did you meet him?
p942016,Where did you see her?
p173327,Where did you buy that book?
p794441,Where do you usually have lunch?
p719370,Where do you watch movies?
p135798,Where do you practice tennis?
p242777,Where do you usually meet your friends?
p178016,Where is she from?
p967274,Where do you have lunch?
p498938,Where do you play tennis?
p119113,Where do you meet your friends?
p520387,Whose pen is this one?
p210519,Whose notebook is this?
p231479,Whose car is it?
p916301,Whose umbrella is at the entrance?
p108122,Whose bag is that?
p532306,Whose watch is this?
p185340,Whose hat is on the table?
p184837,Whose shoes are these at the door?
p907598,Whose glasses are these?
p307931,Whose key is this?
p537565,Whose pen is this?
p268234,Whose book is this?
p707643,Whose car is this?
p951205,Whose umbrella is this?
p505522,Whose bag is this?
p159809,Whose hat is this?
p362951,Whose shoes are these?
p451626,When do you usually celebrate your birthday?
p392173,Where do you meet your friends on the weekend?
p620669,Who does he play tennis with?
p451306,What is the homework for today?
p342661,Why do you want to learn more English?
p902691,How do you get to school every morning?
p560456,When do you have breakfast?
p263899,Where is the library located?
p356366,Who do you like to listen to music with?
p783716,What do you like to do on weekends?
p897275,When is your birthday?
p654517,When do you play tennis?
p558808,Where is the library?
p307384,Who is he?
p779700,Who plays tennis?
p652084,What food do you like?
p840896,Why do you study English?
p336011,How do you play tennis?
p789651,How is the weather today?
p176901,Check your things before you head out.
p438849,Sit down and take a short break.
p335190,Please pass the handouts around the classroom.
p633425,Ask me if you have a question.
p132374,Don’t forget the deadline.
p143079,Take a deep breath and relax.
p963840,Call me when you have a minute.
p299757,Close the window and turn on the AC.
p622958,Finish your homework today.
p142239,Take some rest this weekend.
p248353,Never run here.
p169096,Let's play baseball.
p825621,Don't be late
p389434,Be careful.
p134488,Please come here.
p697906,Don't run here.
p392975,Open the window.
p608047,Study more.
p749901,Play more.
p393946,Be cool.
p628740,I keep a few magazines on my desk.
p384977,We have two cats at home.
p254711,There are ten new chairs in this classroom.
p974217,I bought three comics yesterday.
p151233,She takes lots of photos on every trip.
p916825,There are many pairs of shoes lined up by the door.
p879264,I received several messages from friends.
p253505,There are twelve colored pencils in this box.
p239700,He writes dozens of emails every day.
p933612,We bought two new plants over the weekend.
p953191,I have two books.
p984198,I have three books.
p115319,She has two cats.
p671790,There are five pens on the desk.
p383202,I bought four apples.
p943316,He has six cars.
p143527,There are ten students in the classroom.
p356857,I read seven magazines.
p900630,She took eight photos.
p191337,There are nine birds in the park.
p494125,I bought a new pen this morning.
p724977,This is the book about cats.
p790686,The movie was really moving.
p762045,I’d like an iced drink.
p623663,My dad has a small car.
p201514,There is a famous cafe in this town.
p128199,We planted a big tree in the yard.
p135175,The dog is very calm.
p568125,I drank a glass of water.
p592219,There is a note on the desk.
p658110,I have a pen.
p119406,This is an apple.
p592286,I bought an egg.
p990056,The book is interesting.
p699268,I like milk.
p933840,He has a car.
p708950,The dog is cute.
p493814,I drink water.
p677746,She has an umbrella.
p243502,The movie was interesting.
p289450,I have very little cash on me right now.
p132999,There is a little juice left in the fridge.
p191150,There is very little water in that container.
p381875,There is a little water left in the bottle.
p851492,There are few children in the park today.
p836434,There are a few kids in the park.
p136637,I need some water right now.
p255957,I have many books at home.
p443913,I have a brand-new bike.
p869349,I want something cold on hot days.
p664267,I have little money.
p753967,I have a little money.
p363971,There is little water in the pool.
p780249,There is a little water in the pool.
p361999,There are few children in the park.
p779186,There are a few children in the park.
p252703,I want some water.
p470124,I have many books.
p266667,I have a new bike.
p374529,I want something cold.
p950317,She is always kind.
p910842,I rarely stay up late.
p375813,I usually get up at six-thirty.
p885453,I am always sleepy in the morning.
p738647,My mother always wakes up early in the morning.
p419758,I sometimes watch dramas before bed.
p650887,I always go to my favorite shop on Sundays.
p935198,I often walk through the park at lunch.
p653096,I know my friends really well.
p127385,He runs extremely fast.
p608064,She is always kind.
p642253,I rarely watch TV.
p876927,I usually get up at 6.
p684984,I am always sleepy.
p883625,My mother wakes up early in the morning.
p925221,I sometimes watch TV.
p958504,I always go to Sushiro.
p265722,I often go to the park.
p963064,I know her well.
p382425,He runs fast.
p989806,My dog is curled up on the sofa.
p314735,My notebook is in my bag.
p246124,A cat is hiding under the chair.
p583755,There is a small lamp by the bed.
p601005,"I live near the station, so commuting is easy."
p950197,I visited Tokyo in 2020 for the first time.
p431286,I started working here on April 1st.
p421572,I get up at seven every morning.
p469712,I went on a short trip to Osaka last weekend.
p389658,I moved from Osaka to Tokyo last year.
p972157,My dog is in the box.
p354267,My dog is on the bed.
p522902,My dog is under the bed.
p193701,My dog is by the bed.
p464700,I live near the station
p164934,I visited Tokyo in 2020.
p859775,I was born on April 1.
p726909,I get up at seven.
p377954,I went to Osaka last weekend.
p620012,I went from Osaka to Tokyo last year.
p452355,I am waiting for the bus right now.
p254649,I am taking notes on my phone now.
p550227,I am sending a message to my friend right now.
p405100,She is joining an online meeting right now.
p914869,I am cooking dinner in the kitchen right now.
p357287,He is listening to music in the living room now.
p438441,We are planning our next trip right now.
p638978,They are studying at the library now.
p165315,I am talking on the phone outside right now.
p855149,Everyone in class is preparing their presentations now.
p340143,I am playing soccer now.
p168040,I am swimming in the river now.
p564722,I am writing a letter now.
p230074,She is using a computer now.
p808784,I am studying math now.
p771326,She is cooking now.
p377133,He is watching TV now.
p926332,We are playing in the park now.
p908824,They are listening to music now.
p882545,I am making a phone call now.
p997537,I am not doing my homework right now.
p573506,I am not watching TV at the moment.
p528391,I am not using my computer right now.
p351402,He is not staying online right now.
p194950,She is not cooking right now.
p857404,We are not playing games right now.
p924328,They are not listening to music now.
p782037,I am not thinking about this topic right now.
p633622,He is not reading a book now.
p925207,She is not using her phone right now.
p926267,I am not playing soccer now.
p169455,I am not listening to music now.
p986210,I am not studying now.
p524946,He is not watching TV now.
p474423,He is not reading now.
p178057,She is not reading a book now.
p523015,She is not cooking now.
p474968,She is not writing a letter now.
p592413,We are not playing in the park now.
p771734,Are you working on the new project right now?
p390583,Where are you heading?
p118743,What are you working on right now?
p636231,Are you studying right now?
p658267,Is she making dinner right now?
p546608,Is he watching TV right now?
p957790,What are they discussing right now?
p695002,Where are you at the moment?
p183634,Is she writing a letter right now?
p636417,What are you studying right now?
p758219,Are you playing soccer now?
p943433,Where are you walking now?
p742295,What are you doing?
p379957,Are you studying now?
p280317,Is she cooking now?
p555802,Is he watching TV now?
p113168,What are they doing now?
p921003,Where are you now?
p517493,Is she writing a letter now?
p927737,What are you studying now?
p896359,I was writing in my journal at that time.
p507386,I was replying to emails then.
p128624,I was cooking dinner in the kitchen around seven.
p487059,She was editing a video when I called.
p890150,He was not listening during the meeting.
p209218,We were waiting for the train in the rain.
p169674,They were studying at the library for finals.
p819538,I was running along the river then.
p867839,What were you working on yesterday evening?
p433634,Where were you heading when it started raining?
p832761,I was writing a letter at that time.
p912798,I was writing a letter then.
p171597,I was writing a letter then.
p995422,I was swimming in the river then.
p183006,I was studying math then.
p716039,She was using a computer then.
p679695,She was not reading a book then.
p822291,He was watching TV then.
p294652,What were you doing then?
p110207,Where were you running?
p997640,You should take a break soon.
p132461,May I close the door?
p713968,You don’t have to get up early today.
p718317,You must not take off your mask here.
p436029,She has to cook dinner tonight.
p930112,Can you present in English?
p453715,He can run twenty kilometers.
p445536,I must start studying now.
p347711,You must not eat or drink here.
p632803,Could you help me later?
p153381,You should go to bed right now.
p662400,May I come in?
p836665,You don't have to get up early.
p245462,You must not swim here.
p905868,She must make dinner.
p422981,Can you speak English?
p664397,He can run fast.
p451624,She can play the piano.
